127.0.0.1 - - [14/May/2024:18:59:40 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:09 +0700] "GET /demo/categories HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:10 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:22 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:33 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:33 +0700] "GET /demo/categories HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:35 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:41 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:41 +0700] "GET /demo/categories HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:52 +0700] "GET /demo/products HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [14/May/2024:19:00:56 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [14/May/2024:19:01:11 +0700] "POST /demo/products?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:01:11 +0700] "GET /demo/products HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/May/2024:19:01:13 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [14/May/2024:19:01:31 +0700] "POST /demo/products?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:01:31 +0700] "GET /demo/products HTTP/1.1" 200 1788
0:0:0:0:0:0:0:1 - - [14/May/2024:19:01:46 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [14/May/2024:19:04:32 +0700] "GET /demo/products HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [14/May/2024:19:04:38 +0700] "GET /demo/categories HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [14/May/2024:19:04:40 +0700] "GET /demo/products HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [14/May/2024:19:04:46 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [14/May/2024:19:04:47 +0700] "POST /demo/products?action=createPost HTTP/1.1" 500 1495
0:0:0:0:0:0:0:1 - - [14/May/2024:19:05:27 +0700] "GET /demo/products HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [14/May/2024:19:05:30 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [14/May/2024:19:05:32 +0700] "GET /demo/products HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [14/May/2024:19:05:33 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [14/May/2024:19:05:35 +0700] "GET /demo/products HTTP/1.1" 200 1834
